310	103	6	5.73
108	5384	3	21.48
3509	101	3	7.27
102	1906	8	36.27
102	2058	4	11.92
106	175	10	7.16
681	101	11	19.42
117	204	3	4.08
110	419	6	17.29
104	249	16	36.37
176	2067	10	134.48
592	109	4	10.17
5736	102	3	15.53
2268	12	4	10.5
2160	107	7	42.35
1162	12	4	5.46
105	1677	3	7.94
109	569	6	19.37
2397	109	4	21.98
101	120	174	109.03
116	1623	4	22.11
114	362	4	9.37
261	321	3	22.34
102	6963	3	19.96
2138	103	4	15.14
3032	14	4	14.6
261	205	3	19.16
564	101	7	4.95
1489	101	8	22.34
2426	101	5	13.96
113	260	11	38.58
406	110	3	4.74
103	475	5	6.51
16	247	3	8.21
258	110	5	8.54
2622	14	3	8.07
2119	101	4	7.53
402	14	6	3.91
105	1253	6	21.68
102	2992	3	9.74
1605	112	4	20.24
1212	101	5	6.7
3306	101	5	19.04
1820	14	4	10.07
115	129	10	8.08
101	2411	8	33.69
57	491	7	39.71
108	3113	4	23.63
3432	12	3	9.01
2500	12	3	6.65
236	104	7	5.75
107	1201	3	7.96
107	1284	4	13.33
107	1352	5	19.63
112	347	14	63.38
201	359	7	61.17
101	5345	3	11.92
110	2317	4	21.81
102	1396	4	9.01
107	439	11	36.34
105	4883	4	24.88
102	1600	7	26.43
1755	9	4	28.55
116	487	4	12.46
101	1962	4	7.53
109	1837	10	74.28
2	13	9	16.22
2587	14	3	8.07
2086	101	3	4.02
1479	14	4	8.39
106	2475	5	24
102	5823	3	15.53
1849	14	3	5.83
2353	101	3	5.03
105	410	22	89.81
111	334	23	127.18
4198	14	3	12.45
2230	105	3	9.87
101	1629	6	13.61
110	677	4	11.67
116	302	6	18.07
